duration,total_fiat,total_biat,mean_fiat,mean_biat,flowPktsPerSecond,flowBytesPerSecond,mean_flowiat,std_flowiat,mean_active,std_active,mean_idle,std_idle
119994459.0,119994459.0,119970125.0,2348.136256898,513.2675260334,2373.7929432225,2724140.23717545,421.2682127924,9107.7591776459,11300000.0,16000000.0,1139537.6,74997.3853814251
143704195.0,143704195.0,42106019.0,6986.1057365095,636.8988368048,603.2043810551,645213.405217572,1657.8320181814,345078.17588796,144000000.0,0.0,102000000.0,0.0
119994980.0,119994980.0,119966891.0,10201.9197415406,2341.4113043309,525.0302971008,597136.113527416,1904.6822222222,17736.0172652298,0.0,0.0,0.0,0.0
119292282.0,119292282.0,119260024.0,11947.1489233851,3354.7123488045,381.7262880427,417330.552868458,2619.7356377372,24218.4722011725,0.0,0.0,0.0,0.0
119772966.0,119772917.0,119772939.0,18210.8738026456,3644.2809894724,329.3314118981,383354.103462713,3036.5319440219,31326.4373534373,8688035.0,9160912.00416733,2347216.5,774217.578681536
112843093.0,112594036.0,112841256.0,17189.9291603053,3654.0674200965,331.7261075075,382454.218974661,3014.6156497115,28418.9819424038,0.0,0.0,0.0,0.0
116039979.0,116039979.0,116017467.0,18852.9616571893,5200.4781478327,245.3120057872,268282.968234594,4076.5845424205,53848.8306121284,5681338.0,3169693.82790941,4077856.0,4330795.6895297
119603717.0,119603717.0,119438102.0,19983.9126148705,12894.1057972579,127.5043985464,135182.094717006,7843.3810085907,224119.728398866,11900000.0,12300000.0,4654979.3,7768969.79734188
91034164.0,91012939.0,91012136.0,46340.600305499,42688.6191369606,45.0160667153,98716.6642185015,22219.712960703,994088.926542614,45500000.0,688001.463064941,45000000.0,1598.768119522
2848154.0,2842456.0,2824548.0,823.9002898551,451.8553831387,3406.7680329083,3116723.32324727,293.563595135,4089.8226481344,0.0,0.0,0.0,0.0
119980025.0,119851605.0,119851574.0,34253.1023149471,23639.3637080868,71.4368912659,74938.6825015247,14000.0029171529,156903.753329079,8209418.14285714,9445401.95332015,3119349.92857143,2268340.25695987
117128315.0,117128315.0,116999255.0,35418.2990625945,23722.4766828873,70.3587343504,72681.400735595,14214.6013349515,218950.795536296,11600000.0,8623567.85168681,5158412.5,3678602.14672699
14401864.0,14401412.0,14379655.0,11586.0112630732,2680.7708799404,458.8989314161,520992.977020197,2179.4588377724,43961.7551818402,14100000.0,0.0,3374489.0,0.0
5783951.0,5783728.0,5761016.0,4027.6657381616,1091.9287338893,1160.7982156142,1278356.26546629,861.6044987338,6416.8094267092,0.0,0.0,0.0,0.0
1037140.0,1029427.0,1015379.0,722.4049122807,298.027296742,4660.8943826292,4637725.86150375,214.5954893441,1762.2010029593,0.0,0.0,0.0,0.0
877333.0,877308.0,852559.0,497.0583569405,261.2006740196,5734.424671134,5275495.16546169,174.4200795229,2022.3590429748,0.0,0.0,0.0,0.0
1047108.0,1047082.0,1022958.0,1392.3962765958,325.9904397706,3716.9040824824,4197339.72044909,269.1102544333,1372.4311456454,0.0,0.0,0.0,0.0
113950442.0,113950442.0,113790654.0,59691.1691985333,39510.64375,42.0445933856,42085.8306104684,23789.2363256785,311135.801534913,8127424.07142857,3929383.96103177,4983242.64285714,2922691.68314005
884206.0,883881.0,860422.0,1014.7887485649,290.781345049,4333.8317089004,4692979.91644481,230.8029235187,1705.9389931522,0.0,0.0,0.0,0.0
118349839.0,118349839.0,118221011.0,75430.1077119184,57084.0226943506,30.7731724079,28301.94809137,32504.7621532546,339725.561766123,7395747.42857143,3924867.13282082,4230546.0,3546079.41654402
411092.0,411076.0,389355.0,825.453815261,231.0712166172,5315.1119457445,5743174.27729073,188.2289377289,1221.1757767999,0.0,0.0,0.0,0.0
646234.0,644260.0,623687.0,2078.2580645161,471.7753403933,2528.4958699171,2859959.39551308,395.7342314758,2043.7050150438,0.0,0.0,0.0,0.0
648504.0,647697.0,622223.0,1882.8401162791,491.0994475138,2487.2629929808,2732149.68604666,402.2977667494,2298.9455313732,0.0,0.0,0.0,0.0
424284.0,424264.0,391864.0,1107.7389033943,311.0031746032,3877.1200422359,4160284.14929623,258.0802919708,1830.8696420047,0.0,0.0,0.0,0.0
567691.0,566145.0,542475.0,1513.756684492,464.8457583548,2718.0279412568,2884430.08608556,368.1523994812,1958.7941648534,0.0,0.0,0.0,0.0
312595.0,312562.0,289605.0,816.088772846,251.3932291667,4916.9052608007,5169769.19016619,203.5123697917,1568.7996379657,0.0,0.0,0.0,0.0
